date,hour,is_weekend_or_holiday,event_flag,name,current_crawds,weather_code,temperature,humidity,cloud,chance_of_rain
2024-06-29,11:00,1,0,,7.96,1006,22.9,77,74,45
2024-06-29,12:00,1,0,,8.7,1003,23.5,74,55,0
2024-06-29,13:00,1,0,,7.96,1003,24.2,71,43,0
2024-06-29,14:00,1,0,,7.96,1003,24.6,69,35,0
2024-06-29,15:00,1,0,,15.36,1003,24.8,69,33,45
2024-06-29,16:00,1,0,,79.0,1003,25.3,67,30,45
2024-06-29,17:00,1,1,稲葉浩志,79.0,1000,25.1,68,22,45
2024-06-29,18:00,1,0,,76.78,1000,24.7,70,21,0
2024-06-29,19:00,1,0,,45.7,1003,24.1,72,31,0
2024-06-29,20:00,1,0,,24.98,1003,23.6,75,38,45
2024-06-29,21:00,1,0,,10.18,1003,23.3,76,40,0
2024-06-29,22:00,1,0,,6.48,1000,23.1,79,21,0
2024-06-30,10:00,1,0,,6.48,1063,26.2,73,74,45
2024-06-30,11:00,1,0,,7.96,1063,26.7,71,77,45
2024-06-30,12:00,1,0,,7.96,1063,26.5,73,92,45
2024-06-30,13:00,1,0,,8.7,1063,26.3,74,89,45
2024-06-30,14:00,1,0,,10.18,1009,26.1,75,93,0
2024-06-30,15:00,1,0,,23.5,1003,26.0,73,53,0
2024-06-30,16:00,1,0,,79.0,1003,26.3,70,48,45
2024-06-30,17:00,1,1,稲葉浩志,79.0,1063,25.8,72,66,100
2024-06-30,18:00,1,0,,79.0,1063,25.3,75,73,45
2024-06-30,19:00,1,0,,46.44,1063,25.2,75,67,45
2024-06-30,20:00,1,0,,22.76,1006,25.2,75,69,45
2024-06-30,21:00,1,0,,12.4,1003,25.3,74,52,45
2024-06-30,22:00,1,0,,7.22,1063,25.3,73,52,100
2024-07-02,10:00,0,0,,5.0,1063,27.2,72,55,45
2024-07-02,11:00,0,0,,5.74,1003,28.1,67,51,45
2024-07-02,12:00,0,0,,5.74,1000,29.1,61,20,45
2024-07-02,13:00,0,0,,5.0,1003,29.9,57,56,45
2024-07-02,14:00,0,0,,5.74,1003,30.4,55,61,45
2024-07-02,15:00,0,0,,5.74,1003,30.2,56,51,45
2024-07-02,16:00,0,0,,5.74,1003,28.7,63,33,0
2024-07-02,17:00,0,0,,5.74,1003,28.0,64,45,0
2024-07-02,18:00,0,0,,5.0,1003,27.1,67,42,0
2024-07-02,19:00,0,0,,5.0,1003,26.3,71,57,0
2024-07-02,20:00,0,0,,5.74,1003,26.0,72,56,0
2024-07-02,21:00,0,0,,5.0,1003,25.6,73,53,0
2024-07-02,22:00,0,0,,5.0,1063,25.3,74,69,45
2024-07-03,10:00,0,0,,5.74,1003,27.8,62,38,0
2024-07-03,11:00,0,0,,5.74,1000,28.6,60,24,45
2024-07-03,12:00,0,0,,5.0,1003,29.4,58,53,45
2024-07-03,13:00,0,0,,5.74,1006,29.8,58,63,45
2024-07-03,14:00,0,0,,5.0,1003,28.9,64,34,45
2024-07-03,15:00,0,0,,5.0,1003,28.6,67,45,0
2024-07-03,16:00,0,0,,5.74,1003,28.0,71,60,45
2024-07-03,17:00,0,0,,6.48,1006,27.6,73,68,45
2024-07-03,18:00,0,0,,7.22,1003,27.1,75,59,45
2024-07-03,19:00,0,0,,6.48,1003,26.5,77,41,0
2024-07-03,20:00,0,0,,5.74,1003,25.9,79,39,0
2024-07-03,21:00,0,0,,5.0,1003,25.5,81,41,0
2024-07-03,22:00,0,0,,5.0,1003,25.1,82,34,0
2024-07-04,10:00,0,0,,5.0,1000,29.6,65,13,45
2024-07-04,11:00,0,0,,5.0,1000,30.6,62,16,45
2024-07-04,18:00,0,0,,23.5,1000,30.3,66,18,0
2024-07-05,10:00,0,0,,5.0,1000,30.2,60,16,0
2024-07-05,11:00,0,0,,5.0,1000,31.2,57,9,0
2024-07-05,12:00,0,0,,5.0,1000,32.1,54,9,45
2024-07-05,13:00,0,0,,5.74,1000,32.8,52,4,0
2024-07-05,14:00,0,0,,5.74,1000,33.5,51,14,0
2024-07-05,15:00,0,0,,5.74,1000,33.6,50,24,45
2024-07-05,16:00,0,0,,6.48,1000,32.7,53,22,0
2024-07-05,17:00,0,0,,16.84,1000,31.4,58,14,0
2024-07-05,18:00,0,0,,40.52,1000,30.2,63,9,0
2024-07-05,19:00,0,1,バスケットボール男子日本代表国際強化試合,61.24,1063,28.8,68,76,45
2024-07-05,20:00,0,0,,72.34,1000,28.0,74,5,0
2024-07-05,21:00,0,0,,69.38,1000,27.4,77,5,0
2024-07-05,22:00,0,0,,31.64,1000,27.0,78,11,0
2024-07-06,10:00,1,0,,5.74,1000,29.8,62,9,0
2024-07-06,11:00,1,0,,10.18,1000,30.9,58,7,45
2024-07-06,12:00,1,0,,30.9,1000,31.5,56,15,0
2024-07-06,13:00,1,1,バスケットボール女子日本代表国際強化試合,50.88,1000,32.3,54,9,0
2024-07-06,14:00,1,0,,66.42,1003,32.8,52,26,45
2024-07-06,15:00,1,0,,70.86,1000,33.1,52,24,45
2024-07-06,16:00,1,0,,53.1,1003,32.6,54,34,45
2024-07-06,17:00,1,0,,16.84,1003,31.4,58,41,45
2024-07-06,18:00,1,0,,6.48,1003,30.5,62,48,45
2024-07-06,19:00,1,0,,5.74,1003,29.5,66,30,45
2024-07-06,20:00,1,0,,5.0,1003,28.6,69,30,0
2024-07-06,21:00,1,0,,5.0,1000,27.9,70,18,0
2024-07-06,22:00,1,0,,5.0,1000,27.5,70,23,0
2024-07-07,10:00,1,0,,5.0,1000,29.1,66,0,0
2024-07-07,11:00,1,0,,5.0,1000,29.8,64,1,0
2024-07-07,12:00,1,0,,5.74,1000,30.4,62,1,45
2024-07-07,13:00,1,0,,5.74,1000,30.8,61,0,45
2024-07-07,14:00,1,0,,5.74,1000,30.9,60,0,45
2024-07-07,15:00,1,0,,6.48,1000,31.0,59,0,45
2024-07-07,16:00,1,0,,7.22,1000,30.7,60,2,45
2024-07-07,17:00,1,0,,10.18,1000,30.2,62,7,0
2024-07-07,18:00,1,0,,36.08,1003,29.3,67,33,0
2024-07-07,19:00,1,1,バスケットボール男子日本代表国際強化試合,61.98,1000,28.6,69,21,0
2024-07-07,20:00,1,0,,79.0,1000,28.2,71,1,0
2024-07-07,21:00,1,0,,79.0,1000,27.6,73,2,0
2024-07-07,22:00,1,0,,49.4,1000,27.5,73,3,0
2024-07-08,10:00,0,0,,5.0,1003,31.0,57,31,0
2024-07-08,11:00,0,0,,5.0,1000,31.7,55,22,0
2024-07-08,12:00,0,0,,5.0,1003,32.3,53,34,0
2024-07-08,13:00,0,0,,5.0,1000,32.9,50,8,0
2024-07-08,14:00,0,0,,5.0,1000,33.6,48,2,0
2024-07-08,15:00,0,0,,5.0,1000,33.8,47,5,0
2024-07-08,16:00,0,0,,5.0,1000,33.5,48,13,0
2024-07-08,17:00,0,0,,5.0,1000,32.3,53,6,45
2024-07-08,18:00,0,0,,5.0,1000,31.2,59,6,45
2024-07-08,19:00,0,0,,5.0,1000,30.3,61,6,0
2024-07-08,20:00,0,0,,5.0,1000,29.9,63,5,0
2024-07-08,21:00,0,0,,5.0,1000,29.5,64,6,0
2024-07-08,22:00,0,0,,5.0,1000,29.0,66,3,0
2024-07-09,10:00,0,0,,5.0,1000,30.0,62,8,0
2024-07-09,11:00,0,0,,6.48,1000,31.0,59,3,45
2024-07-09,12:00,0,0,,6.48,1000,31.9,56,1,45
2024-07-09,13:00,0,0,,5.0,1000,32.4,54,3,0
2024-07-09,14:00,0,0,,6.48,1000,32.7,53,5,0
2024-07-09,15:00,0,0,,6.48,1000,32.6,54,6,0
2024-07-09,16:00,0,0,,5.0,1000,32.6,53,8,0
2024-07-09,17:00,0,0,,5.0,1000,32.4,53,11,0
2024-07-09,18:00,0,0,,5.0,1000,31.9,53,16,0
2024-07-09,19:00,0,0,,5.0,1003,31.5,54,46,0
2024-07-09,20:00,0,0,,5.0,1003,31.3,54,46,0
2024-07-09,21:00,0,0,,5.0,1003,30.5,57,36,0
2024-07-10,10:00,0,0,,5.0,1003,29.7,60,46,0
2024-07-10,11:00,0,0,,5.0,1003,30.0,58,47,0
2024-07-10,12:00,0,0,,5.0,1003,30.5,57,45,0
2024-07-10,13:00,0,0,,5.0,1003,31.3,55,46,0
2024-07-10,14:00,0,0,,5.0,1003,32.2,52,45,0
2024-07-10,15:00,0,0,,5.0,1003,32.5,50,47,0
2024-07-10,16:00,0,0,,5.74,1003,32.0,53,46,0
2024-07-10,17:00,0,0,,5.0,1003,30.7,59,47,45
2024-07-10,18:00,0,0,,5.0,1003,29.6,63,59,0
2024-07-10,19:00,0,0,,5.74,1063,28.6,66,58,45
2024-07-10,20:00,0,0,,5.0,1003,28.0,68,56,45
2024-07-10,21:00,0,0,,5.0,1009,27.8,70,91,0
2024-07-10,22:00,0,0,,5.0,1063,27.7,73,77,45
2024-07-11,10:00,0,0,,5.0,1003,27.4,68,50,45
2024-07-11,11:00,0,0,,5.74,1003,27.7,67,45,0
2024-07-11,12:00,0,0,,5.0,1003,28.2,64,27,0
2024-07-11,13:00,0,0,,5.0,1003,29.1,60,50,0
2024-07-11,14:00,0,0,,5.0,1000,29.5,58,22,0
2024-07-11,15:00,0,0,,5.0,1000,30.1,54,16,0
2024-07-11,16:00,0,0,,5.0,1000,29.5,58,20,0
2024-07-11,17:00,0,0,,5.0,1000,28.5,63,17,0
2024-07-11,18:00,0,0,,5.0,1063,28.2,65,74,45
2024-07-11,19:00,0,0,,5.0,1003,27.7,66,33,0
2024-07-11,20:00,0,0,,5.0,1063,27.1,69,78,100
2024-07-11,21:00,0,0,,5.0,1000,27.0,71,13,0
2024-07-11,22:00,0,0,,5.0,1063,27.1,71,86,45
2024-07-12,10:00,0,0,,5.0,1183,23.4,90,96,100
2024-07-12,15:00,0,0,,12.4,1183,23.0,91,96,100
2024-07-12,16:00,0,0,,13.88,1183,23.1,90,100,100
2024-07-12,20:00,0,0,,13.88,1063,22.9,89,74,100
2024-07-12,21:00,0,0,,13.88,1240,23.0,89,70,100
2024-07-12,22:00,0,0,,7.96,1063,23.0,88,76,45
2024-07-13,10:00,1,1,"ディズニー・オン・アイス ""Find Your Gift"" ～東京公演～",7.96,1003,27.4,65,45,0
2024-07-13,11:00,1,0,,19.06,1063,28.0,62,86,45
2024-07-13,12:00,1,0,,24.24,1000,28.1,63,23,45
2024-07-13,13:00,1,0,,15.36,1000,28.3,64,24,45
2024-07-13,14:00,1,1,"ディズニー・オン・アイス ""Find Your Gift"" ～東京公演～",9.44,1003,28.5,64,29,45
2024-07-13,15:00,1,0,,16.84,1063,28.5,65,71,45
2024-07-13,16:00,1,0,,21.28,1063,27.8,68,88,45
2024-07-13,17:00,1,0,,12.4,1063,27.5,70,72,45
2024-07-13,18:00,1,1,"ディズニー・オン・アイス ""Find Your Gift"" ～東京公演～",13.88,1003,27.1,72,45,45
2024-07-13,19:00,1,0,,25.72,1063,26.3,76,83,45
2024-07-13,20:00,1,0,,26.46,1063,25.7,80,52,45
2024-07-13,21:00,1,0,,19.06,1003,25.6,81,59,0
2024-07-13,22:00,1,0,,7.22,1006,25.5,82,76,0
2024-07-14,10:00,1,1,"ディズニー・オン・アイス ""Find Your Gift"" ～東京公演～",8.7,1189,26.0,81,100,100
2024-07-14,11:00,1,0,,16.84,1189,24.6,90,100,100
2024-07-14,12:00,1,0,,18.32,1240,24.7,90,95,100
2024-07-14,13:00,1,0,,11.66,1153,25.5,86,75,100
2024-07-14,14:00,1,1,"ディズニー・オン・アイス ""Find Your Gift"" ～東京公演～",10.92,1240,26.8,80,82,100
2024-07-14,15:00,1,0,,22.76,1063,27.2,77,83,100
2024-07-14,16:00,1,0,,24.24,1063,27.6,75,89,45
2024-07-14,17:00,1,0,,14.62,1063,27.6,74,80,45
2024-07-14,18:00,1,1,"ディズニー・オン・アイス ""Find Your Gift"" ～東京公演～",10.92,1063,27.3,76,68,45
2024-07-14,19:00,1,0,,20.54,1063,26.9,79,64,45
2024-07-14,20:00,1,0,,23.5,1063,26.5,81,63,45
2024-07-14,21:00,1,0,,17.58,1003,26.2,83,51,45
2024-07-14,22:00,1,0,,7.96,1003,25.9,85,39,0
2024-07-15,10:00,1,1,"ディズニー・オン・アイス ""Find Your Gift"" ～東京公演～",11.66,1063,23.9,75,100,45
2024-07-15,11:00,1,0,,22.76,1063,24.2,73,100,45
